FID,id,vejkode,vejnavn,park_id,bydel,stativ_type,stativ_placering,stativ_udformning,cykler_retning,antal_pladser,stativ_tilstand,stativ_ejer,stativ_foto,bemaerkning,reg_metode,reg_dato,rettet_dato,budget,projekt,faerdigmelding,projektbeskrivelse,stativ_fjernet,wkb_geometry
cykelstativ.1,6450,0004,Abel Cathrines Gade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Ikke registreret,7,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-01-30T13:06:53.911,2018-08-09T11:04:28.195,2013,fase2,,,2,POINT (12.559911715583818 55.671311681209716)
cykelstativ.2,6451,0004,Abel Cathrines Gade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Ikke registreret,7,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-01-30T13:06:53.911,2018-08-09T11:04:28.195,2013,fase2,,,2,POINT (12.559765094348961 55.67128132114395)
cykelstativ.3,7176,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,15,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,POINT (12.553918250884836 55.671839790851955)
cykelstativ.4,4569,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,Offentligt,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (12.5552785558673 55.669617247672996)
cykelstativ.5,6020,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2016-05-30T12:45:44.181,2018-08-09T11:04:28.195,,,,,2,POINT (12.555136731580015 55.66983957166716)
cykelstativ.6,6877,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,13,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-10T16:40:10.074,2018-08-09T11:04:28.195,2013,fase1,,Bedre Cykelparkering,2,POINT (12.55507404813306 55.66992956454931)
cykelstativ.7,7174,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,20,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,POINT (12.553729150827516 55.672336909066914)
cykelstativ.8,7175,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,20,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,POINT (12.553772322504214 55.672175789747186)
cykelstativ.9,6550,0024,Adelgade,0,Indre By,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,4,Ikke registreret,Privat,,,Digitaliseret manuelt,2017-02-02T15:08:53.389,2018-08-09T11:04:28.195,,,,,2,POINT (12.585007618156258 55.68597954847746)
cykelstativ.10,4909,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,Privat,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (12.584216110826228 55.68492337861538)
cykelstativ.11,4910,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,Privat,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (12.584094814937504 55.684768638812265)
