,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state
31147,"washington, DC",1199,apartment,695,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,dc
264722,columbia,905,apartment,950,2,2.0,0,0,1,0,0,0,,,sc
169218,southeast missouri,700,house,1700,3,2.5,1,0,0,0,0,0,w/d in unit,off-street parking,mo
268564,hilton head,1400,townhouse,1350,3,2.5,0,0,0,0,0,0,w/d in unit,,sc
105979,des moines,875,apartment,976,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ia
286144,amarillo,1195,house,1170,3,1.5,0,0,1,0,0,0,w/d hookups,attached garage,tx
138830,southern maryland,950,house,1788,3,2.0,1,1,1,1,0,0,w/d in unit,attached garage,md
65178,treasure coast,1200,apartment,1000,2,2.0,1,0,1,0,0,0,w/d hookups,off-street parking,fl
222970,medford-ashland,1199,apartment,391,1,1.0,1,1,0,1,0,0,laundry on site,off-street parking,or
232144,dayton / springfield,634,apartment,790,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking,oh
83200,boise,1206,apartment,950,2,1.0,1,1,1,0,0,0,w/d in unit,,id
107996,omaha / council bluffs,1110,apartment,1170,2,2.0,0,0,0,0,0,0,w/d in unit,off-street parking,ia
362594,tucson,690,apartment,567,1,1.0,1,1,1,1,0,0,laundry in bldg,off-street parking,az
364355,fayetteville,950,duplex,1336,3,2.0,1,1,0,0,0,0,w/d hookups,attached garage,ar
267739,greenville / upstate,966,apartment,799,1,1.0,1,1,0,0,0,0,w/d in unit,,sc
182373,fayetteville,769,apartment,1100,2,2.0,1,1,1,1,0,1,,off-street parking,nc
88362,champaign urbana,520,apartment,996,2,1.5,1,1,1,0,0,0,,,il
320926,vermont,1275,townhouse,1500,3,3.0,0,0,0,0,0,0,laundry on site,off-street parking,vt
240932,tulsa,1180,apartment,1378,3,2.0,1,1,1,0,0,0,w/d hookups,,ok
97511,evansville,1030,apartment,1048,3,1.5,1,1,0,0,0,0,w/d hookups,carport,in
148051,detroit metro,1345,apartment,885,1,1.0,1,1,1,0,0,0,w/d in unit,carport,mi
344979,milwaukee,1200,apartment,750,1,1.0,1,1,1,0,0,0,w/d in unit,attached garage,wi
166920,gulfport / biloxi,805,townhouse,967,2,1.5,1,1,1,0,0,0,laundry on site,,ms
229429,columbus,1149,apartment,1135,2,2.0,0,0,1,0,0,0,,,oh
289197,austin,920,apartment,496,1,1.0,1,1,0,0,0,0,laundry on site,off-street parking,tx
293453,corpus christi,924,apartment,829,2,1.0,1,1,1,0,0,0,laundry on site,carport,tx
211574,hudson valley,1063,apartment,584,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ny
136453,frederick,1253,apartment,965,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,md
165765,st cloud,1120,apartment,1271,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,mn
144338,ann arbor,2000,apartment,1055,2,2.0,1,1,1,1,1,0,w/d in unit,carport,mi
63621,tampa bay area,945,apartment,800,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,fl
